upc,name,price,stock
066721002228,"Cheese Nips Party Mix 200g",1.97,100
681131914413,"42 Mini Cups",2,100
066721012784,"Premium Plus Salted 450g",2.5,100
066721011572,"Vegetable Thins - Multigrain 225g",1.97,100
066721000811,"Belvita Blueberry Breakfast Biscuits 250g",2.97,100
694990083763,"Lu Creme Roulee - Rolled Wafers Chocolate Hazelnut",6.49,100
059290290608,"Jacob's Cream Crackers",1.97,100
066721022981,"Mr. Christie’s Snak Paks Soft Baked Cookies - Oatmeal Chocolate Chip",2.27,100
073416200142,"Lundberg Gluten Free Organic Brown Rice Cakes Lightly Salted",3.97,100
066721020376,"Triscuit Rosemary & Olive Oil 225g",1.97,100
064100770010,"Pop-Tarts* Chocolate Chip Cookie Dough",1.94,100
018627575832,"Kashi Pita Crisps Original 7 Grain with Sea Salt",2.97,100
066721020581,"Mini Oreo Snack Packs 180g",2.27,100
066721012210,"Premium Plus Crackers Salted Tops - 18 Handy 4 packs",2.97,100
066721000798,"Belvita Oatmeal Crunch Breakfast Biscuits 250g",2.97,100
066721001184,"Chips Ahoy! 300g",1.97,100
066721000989,"Golden Oreo - 300g",1.97,100
066721000972,"Oreo Cookies - 300g",1.97,100
605388342829,"12 Sugar Cones",2,100
066721018458,"Rice Thins Multigrain 100g",1.97,100
066721001115,"Fudgee-O Cookies 500g",3.97,100
064100256668,"Pop-Tarts* toaster pastries Frosted Raspberry",1.94,100
065987204353,"Peek Freans Lifestyle Bran Crunch 275g",3.67,100
064100509795,"Special K Fruit Crisps Jumbo",8.98,100
041570054222,"Blue Diamond Cheddar Nut Thins 120.5g",3.27,100
779921228564,"Vita Vigor Breadsticks Garlic",1.27,100
066721000996,"Oreo - Reduced Fat 300g",1.97,100
066721001467,"Ahoy! Extras - Roasted Almond and Chocolate 182g",1.97,100
064100707610,"Special K* Cracker Chips Cheddar",2.97,100
066721002167,"Ritz Bits Sandwich - Cheese 180g",1.97,100
066721013651,"RITZ CHIPS Original - 225g",1.97,100
681131760782,"18 ice cream cups",1,100
066721001191,"Chips Ahoy! Rainbow Cookies 300g",1.97,100
066721020604,"Mr. Christie’s Snak Paks - Barnum’s Animal Crackers",2.27,100
678523038451,"Glutino Gluten Free Cheddar Crackers 125g",4.97,100
058500000549,"Billy Bee - Honey Roasted Peanuts - 300g",2.97,100
055415133973,"Red metal basket",25,100
058807485070,"Orville Redenbacher's Gourmet Popping Corn - Lime & Salt",4.77,100
070221006082,"TOBLERONE Milk Chocolate Festive 400G",8.47,100
069941386406,"Winter Pals",10,100
058716101016,"Cinnabon - Cinnamon Mixed Nuts - 200g",4.97,100
066264351548,"Bunny Brown",9,100
064900427695,"STARBURST Minis Original 191g",2.48,100
058716101009,"Cinnabon - Cinnamon Almonds - 200g",4.97,100
068000113106,"POT OF GOLD® Dark Chocolate Collection 283G",5.98,100
061200225969,"CARAMILK 100G",2.16,100
064900427183,"LIFESAVERS Orange-O-Mint 150g",2.12,100
681131712866,"Great Value CHOCOLATE COATED GRANOLA BARS",1.57,100
073141551342,"Chocolate Bags",3.96,100
775886000382,"Golden BonBon Soft Almond Nougat -100g",2.48,100
678523080092,"Glutino Gluten Free Chocolate Peanut Butter Candy Bars 5 x 25g",4.27,100
681131408738,"Cajun Trail Mix",4,100
029537040914,"Nature's Bounty Vitamin B-12 2500 mcg Sublingual 120 Tablets",17.47,100
066264351524,"Bunny Blue",9,100
678523080016,"Glutino Gluten Free Dark Chocolate Candy Bars 5 x 25g",4.27,100
066264351531,"Bunny Beige",9,100
775886000665,"Golden BonBon Assorted Almond Nougat -100g",2.48,100
066721021816,"Thinsations Chocolate Covered Pretzels 138g",1.97,100
064900426711,"SKITTLES Darkside 191g",2.48,100
678523080054,"Glutino Gluten Free Milk Chocolate Candy Bars 5 x 25g",4.27,100
055415137797,"2 Starbucks Mugs on Tray",25,100
678523040225,"Glutino Gluten Free Chocolate Covered Pretzels 156g",4.97,100
073141552325,"Strawberry POCKY",2.98,100
